Workout #,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C
,6,5,4,3,2,Neg,6,5,4,3,2,Neg,6,5,F,3,2,Neg,5,3,F,3,1,Neg,5,3,F,3,2,1,5,3,F,3,2,1,5,3,2,3,2,1
1RM
455,360,385,400,395,430,470,365,385,405,405,430,480,370,390,415,410,440,485,385,415,420,420,450,495,390,420,425,420,455,470,395,430,430,415,450,475,400,440,465,425,455,480
460,365,390,405,400,435,480,365,390,410,410,435,485,375,395,420,415,445,490,385,420,425,425,455,500,390,425,430,425,460,475,400,430,435,420,455,480,405,445,470,430,460,485
465,370,395,410,405,440,485,370,395,415,415,440,490,375,400,425,420,445,495,390,425,430,425,460,505,395,430,435,430,465,480,400,435,440,425,460,485,410,445,475,430,465,490
470,375,400,415,410,445,490,375,400,420,420,445,495,380,400,425,425,450,505,395,430,435,430,465,510,400,435,440,435,470,485,405,440,445,430,460,490,410,450,480,435,470,495
475,380,405,420,415,450,495,380,405,425,425,450,500,385,405,430,430,455,510,400,435,440,435,470,515,405,440,445,440,475,490,410,445,450,435,465,495,415,455,485,440,475,500
480,380,405,425,420,455,500,385,410,430,430,455,505,390,410,435,435,460,515,405,440,445,440,475,520,410,445,450,445,480,495,415,450,455,440,470,500,420,460,490,445,480,505
485,385,410,430,425,460,505,390,415,435,435,460,510,395,415,440,440,465,520,410,445,445,445,480,525,415,450,455,445,485,500,420,455,460,445,475,505,425,465,495,450,485,510
490,390,415,430,425,460,510,390,415,440,435,465,515,395,420,445,445,470,525,410,445,450,450,480,530,415,455,460,450,490,505,425,460,465,450,480,510,430,470,500,455,485,515
495,395,420,435,430,465,515,395,420,445,440,470,520,400,425,450,450,475,530,415,450,455,455,485,535,420,455,460,455,495,510,425,465,470,450,485,515,435,475,505,460,490,520
500,400,425,440,435,470,520,400,425,450,445,475,525,405,425,455,455,480,535,420,455,460,460,490,540,425,460,465,460,500,515,430,470,475,455,490,520,435,480,510,465,495,525
505,400,430,445,440,475,525,405,430,450,450,480,530,410,430,460,455,485,540,425,460,465,465,495,545,430,465,470,465,505,520,435,475,480,460,495,525,440,485,515,465,500,530
510,405,435,450,445,480,530,410,435,455,455,485,540,415,435,465,460,490,545,430,465,470,470,500,550,435,470,475,470,510,525,440,475,480,465,500,530,445,490,520,470,505,535
515,410,435,455,450,485,535,410,440,460,460,490,545,415,440,470,465,495,550,430,470,475,470,505,560,440,475,480,475,515,530,445,480,485,470,505,535,450,495,525,475,510,540
520,415,440,460,455,490,540,415,445,465,465,495,550,420,445,475,470,500,555,435,475,480,475,510,565,440,480,485,480,520,535,450,485,490,475,510,540,455,500,530,480,515,545
525,420,445,465,460,495,545,420,445,470,470,500,555,425,450,475,475,505,560,440,480,485,480,515,570,445,485,490,485,525,540,450,490,495,480,515,545,460,500,535,485,520,550
530,425,450,470,460,500,550,425,450,475,475,505,560,430,455,480,480,510,565,445,485,490,485,520,575,450,490,495,485,530,545,455,495,500,485,520,550,460,505,540,490,525,555
535,425,455,475,465,505,555,430,455,480,480,510,565,435,455,485,485,515,570,450,485,495,490,525,580,455,495,500,490,535,550,460,500,505,485,525,555,465,510,545,495,530,560
540,430,460,480,470,510,560,430,460,485,480,510,570,440,460,490,490,520,575,455,490,495,495,530,585,460,500,505,495,540,555,465,505,510,490,530,560,470,515,550,500,535,565
545,435,465,485,475,515,570,435,465,490,485,515,575,440,465,495,495,525,580,455,495,500,500,535,590,465,505,510,500,545,560,470,510,515,495,535,565,475,520,555,500,540,570
550,440,470,485,480,520,575,440,470,495,490,520,580,445,470,500,500,530,590,460,500,505,505,540,595,465,505,515,505,545,565,475,515,520,500,540,570,480,525,555,505,545,575
555,445,470,490,485,525,580,445,475,500,495,525,585,450,475,505,500,535,595,465,505,510,510,545,600,470,510,515,510,550,570,475,520,525,505,540,575,485,530,560,510,550,580
560,445,475,495,490,530,585,450,480,505,500,530,590,455,480,510,505,540,600,470,510,515,515,550,605,475,515,520,515,555,575,480,525,530,510,545,580,485,535,565,515,555,585
565,450,480,500,495,535,590,455,480,505,505,535,595,460,485,515,510,545,605,475,515,520,520,555,610,480,520,525,520,560,580,485,525,535,515,550,585,490,540,570,520,560,590
570,455,485,505,500,540,595,455,485,510,510,540,600,460,485,520,515,550,610,480,520,525,520,560,615,485,525,530,525,565,585,490,530,535,520,555,590,495,545,575,525,565,595
575,460,490,510,505,545,600,460,490,515,515,545,605,465,490,525,520,555,615,480,525,530,525,565,620,490,530,535,525,570,590,495,535,540,520,560,595,500,550,580,530,570,600
580,465,495,515,505,550,605,465,495,520,520,550,610,470,495,525,525,555,620,485,530,535,530,570,625,490,535,540,530,575,595,500,540,545,525,565,600,505,555,585,535,570,600
